,P14,P5,P4,P1,P12,BLS1,BLS3,P17,P10,P18,P6,P15,BLS0,P11,P8,BLS2,BLS5,Period,BLS16,P0,BLS10,P3,BLS6,BLS11,BLS25,BLS26,BLS29,BLS4,BLS14,P13,Y,IDs
1871,15.0,0.02973,0.01215,3.85422,16.0,0.810633402566,1.38656867365,0.00869,-21.27811,5.59547,0.21552,16.0,-1.33379954672,0.31116,0.22114,-0.515191208224,-0.285308219808,2.24714329,0.131682192972,0.551166528977,-0.604449816305,4.16383,-0.370978577712,0.26405416329,0.19691912784,-0.66672531402,-0.508749825519,-0.771595979264,-1.01260328616,5.0,1.0,2871
1508,7.0,0.01505,0.00174,4.70223,8.0,-0.737865227805,-0.817676537544,0.00062,-57.39098,7.91269,0.25018,7.0,-1.58199403988,0.62831,0.2373,-0.830928513067,-0.323149534933,0.88461028,1.19053885125,0.237411087288,-0.514455440065,5.01606,-0.113135533469,0.525196791684,0.211845452656,-0.0481829011554,-0.453899322806,0.190290722211,0.0109088025583,8.0,1.0,2508
1803,6.0,0.01539,0.01267,4.42096,6.0,-0.473415554014,0.718575355321,0.00559,-22.96354,5.54796,0.24784,10.0,-1.24117053522,0.32165,0.43266,-0.536157332952,-0.502391410225,1.01961894,-1.50837489978,0.469823901838,0.463762515966,5.01422,0.296917704138,0.000954240982039,-0.806206215847,0.0370220202981,1.10286767945,-0.24219773687,0.809072623367,6.0,1.0,2803
1114,8.0,0.01595,0.0022,5.37915,7.0,1.89455588008,-0.690346160521,0.00029,-48281.59044,14.66562,0.28747,7.0,-0.184279164243,0.55952,0.65423,0.842630129902,-0.378997229603,5.12687213,-0.476022264366,3.41588504323,0.157691542084,5.00783,0.66959992965,-0.0352749206972,-2.60587058395,-0.364371082804,-0.660037347743,0.935383200216,0.123219947113,2.0,1.0,2114
1798,9.0,0.01898,0.00613,3.80043,9.0,0.310803931525,0.667805869465,0.00386,-21.56478,4.76391,-0.00436,9.0,-1.44855886642,0.3566,0.24611,-0.631286591058,-0.21001459077,0.55110898,-0.191076890827,0.161696654526,0.541584807849,3.99641,-1.11868933481,-0.88145351232,2.14611917549,-2.65275987173,1.58035031204,-0.624450957314,0.574439398351,9.0,1.0,2798
1029,24.0,0.05588,0.00204,5.62797,24.0,-0.98203543662,0.547807699946,0.00018,-474080.15698,32.31534,0.37458,24.0,0.319605269474,0.3824,0.65543,1.81200074324,0.880818116221,2.99192173,0.206537140097,2.06542736357,1.3430834771,5.15065,-0.76695260482,-0.786948945439,0.662714723671,0.0622049477276,-0.862256311389,0.462472496792,0.0482086788809,3.0,1.0,2029
1753,21.0,0.0321,0.00486,3.12211,21.0,-0.480522722659,0.921052763131,0.00377,-21.52014,5.90561,0.22118,18.0,-0.24187639535,0.47933,0.24177,-0.0500923701712,-0.897458770908,4.27017679,0.513823347933,1.12177647362,0.00738859466921,3.12928,0.849452029347,-0.35215449928,2.27044328898,3.07524853499,-2.21582969927,-0.647630256516,-1.82689736928,3.0,1.0,2753
1289,10.0,0.0263,0.0022,5.40114,11.0,-0.248424756708,-0.661988943864,0.00012,-7145.67197,22.12225,0.12672,10.0,1.3771487867,1.0,0.58426,0.186784803771,1.50882751734,7.98562573,0.156966336098,4.79150892057,-0.307919461003,3.86743,0.0733417358048,-0.386510846542,-0.474424442519,-0.26871345286,0.583287336151,-0.415863158206,-0.864223749634,1.0,1.0,2289
1146,41.0,0.05484,0.00117,2.84057,42.0,-0.0110623756008,-0.588035421612,0.00025,-65833.65427,10.36562,0.29874,27.0,0.566001359124,0.99819,0.18849,0.381849369372,-0.920182274817,7.9051374,0.171186258768,1.72763873608,0.198082183726,2.84057,-0.345695829043,-0.222714406195,-0.432987641208,-0.616772477708,0.163196771591,-0.955574225899,-0.0772226599386,2.0,1.0,2146
1273,24.0,0.05911,0.0021,5.98283,27.0,-1.10221548375,0.526780119083,0.00019,-9309.38167,31.27389,0.39907,24.0,0.214873683862,0.35083,0.4862,2.05914998567,0.543206205549,2.9973024,0.221168554094,1.56671002951,0.70619611267,5.39378,-1.22529359777,-0.782570897827,0.504040798631,-0.543361068955,-0.513659109703,0.705018001126,-0.165773740032,3.0,1.0,2273
1221,25.0,0.05899,0.00213,6.09464,25.0,-1.15478448622,0.71439538746,0.00018,-20059.27292,33.10718,0.41371,34.0,0.214903014266,0.37918,0.93133,2.09541247012,0.327664332323,2.98722947,0.37994286068,2.89103319435,0.700795728038,5.45234,-1.16230644456,-1.04240109729,0.367294055186,-0.479347951325,-0.207488105557,0.735436986969,-0.183151249914,3.0,1.0,2221
1340,46.0,0.09206,0.00109,3.43977,38.0,-0.0492845666842,-0.692831438105,0.00026,-2736.82232,10.9449,0.17396,38.0,0.67520330417,0.98985,0.37872,0.26268736247,-1.23210495183,4.2746261,0.34593550211,1.8364750773,0.309525575173,3.18186,-0.666705040707,0.255493294772,-0.351802288303,-0.509769353883,-0.0918999588864,-1.12302794733,-0.301082568562,2.0,1.0,2340
1509,40.0,0.08256,0.00069,4.11109,38.0,-0.711123326621,-0.76212275509,0.00061,-52.8843,6.92065,0.08604,41.0,-1.24843618484,0.23081,0.91441,-0.334148198352,0.478811387639,0.9595233,1.739528149,0.937838451807,0.328005417554,4.35143,0.45361470192,-0.372950427626,1.53100597417,-1.95777584348,-1.47133841227,-0.00322211833255,1.72604272545,10.0,1.0,2509
1514,10.0,0.02092,0.00189,6.27598,9.0,1.78853077952,0.0265809750812,0.00064,-107.24803,8.59759,0.08927,11.0,-0.49656235617,0.49806,0.21867,0.43843248367,0.246264486606,3.38522082,0.946797553269,0.796494641384,0.233541562699,6.35556,-0.0399658899216,0.127927384343,-0.427644315952,1.46420219963,0.167966698191,0.131447697174,0.210324346526,3.0,1.0,2514
1069,11.0,0.02212,0.00178,5.71278,12.0,2.34698129727,-0.728161920548,0.00031,-130812.6689,15.79384,0.11594,11.0,-0.271771750063,0.30317,0.66248,0.329826495008,-0.138405039998,1.71666946,0.416114142159,1.17707656443,0.705910504723,5.13369,-0.529982857714,-0.0263220942489,0.187575505965,-0.252819175655,0.223616161683,1.33122285102,0.543070165096,6.0,1.0,2069
1357,3.0,0.00931,0.00231,5.10914,6.0,-1.28029611849,-1.75268093229,0.00034,-625.89868,16.49899,0.26137,3.0,-1.36832241058,0.28356,0.93398,-0.688252020638,-0.156749686123,0.51110221,0.975066187145,0.500571986256,0.954447266778,5.04567,0.56626197662,-0.00299636154333,0.319336307051,0.359558006549,-0.992697904649,0.72866793494,0.110695622855,6.0,1.0,2357
1908,33.0,0.06976,0.01005,3.64323,33.0,0.479828944446,1.44274882182,0.0134,-23.04024,4.30848,0.02816,33.0,-1.3629092312,0.22716,0.84547,-0.199754704987,-0.320377952241,0.53851606,2.23136743793,0.49491771079,-0.0323253223775,4.06556,0.686729859901,0.440987726017,2.55620322622,1.25265277183,-0.5608833294,-1.3436006164,-0.256325606613,18.0,1.0,2908
1556,30.0,0.05972,0.00103,4.65404,27.0,-0.717234311593,-0.375770195864,0.00084,-42.51164,6.22983,0.09606,30.0,-1.15609971306,0.34821,0.5953,0.0828404262469,0.058613540505,1.00674273,-0.0994143359233,0.650205384059,1.1633507203,4.86622,0.165252215934,0.331513985749,0.345110532363,1.72117669704,-1.41647247147,0.343963721543,-0.953422155382,10.0,1.0,2556
